,codimap_category,codimap_title,codimap_date,views,comment_numbers,codimap_explain,codimap_hashtag,codimap_imgurl
48,비즈니스캐주얼,깔끔한 연출,21.11.10,"3,741",6,간결한 실루엣의 카디건과 슬랙스를 매치하고 더블 코트로 완성한 포멀 룩,"['#와이드핏', '#단정한', '#출근룩', '#미니멀', '#모노톤', '#가을', '#포멀', '#드로우핏', '#인사일런스', '#로헤이드', '#비비엔디', '#슈트 팬츠/슬랙스', '#긴소매 티셔츠', '#겨울 더블 코트', '#안경', '#구두', '#비즈니스캐주얼']",//image.msscdn.net/images/codimap/detail/8856/detail_8856_1_500.jpg?202401121401
49,비즈니스캐주얼,완벽한 스타일링,21.09.15,"4,241",6,간결한 실루엣의 셔츠와 니트를 레이어드하고 슬랙스로 완성한 포멀 룩,"['#레이어드룩', '#톤온톤', '#출근룩', '#단정한', '#미니멀', '#레더', '#가을', '#포멀', '#드로우핏', '#씨오큐', '#로스트가든', '#에가든', '#쿠어', '#효지노리코', '#필루미네이트', '#반소매 티셔츠', '#셔츠/블라우스', '#슈트/블레이저 재킷', '#구두', '#시계 용품', '#토트백', '#슈트 팬츠/슬랙스', '#비즈니스캐주얼']",//image.msscdn.net/images/codimap/detail/6755/detail_6755_1_500.jpg?202401121401
50,로맨틱,레트로 스타일링,21.05.17,"2,360",6,빈티지 무드의 블라우스와 데님 팬츠를 코디한 로맨틱 룩,"['#봄', '#로맨틱', '#디모멘트', '#게스', '#앨리스마샤', '#덱케', '#리올그', '#귀걸이', '#데님 팬츠', '#숄더백', '#힐/펌프스', '#헤어 액세서리', '#셔츠/블라우스']",//image.msscdn.net/images/codimap/detail/3187/detail_3187_1_500.jpg?202401121401
51,비즈니스캐주얼,데이트 룩 완성!,21.02.08,"10,926",5,"미니멀 무드의 코트와 카디건, 슬랙스를 연출하고 스니커즈로 마무리한 세미 포멀 룩","['#봄', '#포멀', '#무신사 스탠다드', '#겨울 싱글 코트', '#디지털', '#페도라', '#반소매 티셔츠', '#카디건', '#벨트', '#니트/스웨터', '#캔버스/단화', '#슈트 팬츠/슬랙스', '#안경 소품', '#토이', '#비즈니스캐주얼']",//image.msscdn.net/images/codimap/detail/1765/detail_1765_1_500.jpg?202401121401
52,캐주얼,가볍게 툭!,21.05.31,"3,527",5,로고 프린팅이 돋보이는 반팔 티셔츠와 데님 팬츠를 매치하고 플로럴 패턴 에코백으로 포인트를 준 캐주얼 룩,"['#편안한', '#로고플레이', '#플라워', '#슬림핏', '#찢청', '#봄', '#캐주얼', '#캐치볼', '#소곤소곤', '#닉앤니콜', '#오드스튜디오', '#하카블랙스', '#캔버스/단화', '#에코백', '#잡지/무크지', '#안경', '#셔츠/블라우스', '#반소매 티셔츠', '#팔찌']",//image.msscdn.net/images/codimap/detail/3369/detail_3369_1_500.jpg?202401121401
53,캐주얼,레트로 무드,21.03.12,"11,781",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 와이드 핏의 데님 팬츠를 매치하고 레트로한 무드가 느껴지는 안경으로 마무리한 캐주얼 룩,"['#봄', '#캐주얼', '#캉골', '#퍼블릭아이콘', '#디스이즈네버댓', '#루킹포유', '#커버낫', '#메신저/크로스 백', '#기타 컬처', '#데님 팬츠', '#안경 소품', '#헌팅캡/베레모', '#캔버스/단화', '#안경', '#맨투맨/스웨트셔츠']",//image.msscdn.net/images/codimap/detail/2235/detail_2235_1_500.jpg?202401121401
54,캐주얼,활동하기 최고,21.09.23,"6,555",5,편하게 입기 좋은 스웨트셔츠와 블루종을 연출하고 스니커즈로 완성한 이지 캐주얼 룩,"['#카고', '#와이드핏', '#편안한', '#원마일웨어', '#로고플레이', '#가을', '#캐주얼', '#라퍼지스토어', '#챕터에잇', '#지프', '#인터섹션', '#데이트', '#안경 소품', '#디퓨저/캔들', '#캡/야구 모자', '#맨투맨/스웨트셔츠', '#블루종/MA-1', '#기타 스니커즈']",//image.msscdn.net/images/codimap/detail/7069/detail_7069_1_500.jpg?202401121401
55,캐주얼,그린 포인트!,21.05.28,"5,539",5,"그린 컬러가 돋보이는 반팔 니트와 숏 팬츠를 연출하고 토트백, 첼시 부츠로 완성한 캐주얼 룩","['#파스텔', '#피크닉', '#봄', '#캐주얼', '#타게토', '#닥터마틴', '#108서울', '#아메스 월드와이드', '#리', '#선글라스', '#부츠', '#기타 스니커즈', '#헤어 액세서리', '#니트/스웨터', '#숄더백']",//image.msscdn.net/images/codimap/detail/3341/detail_3341_1_500.jpg?202401121401
56,스트릿,스트라이프 활용법,21.02.19,"2,903",5,데미지 디테일이 돋보이는 스트라이프 니트에 카고 팬츠를 매치하고 하이 탑 스니커즈로 마무리한 스트릿 룩,"['#봄', '#스트릿', '#로파이', '#베이어다이나믹', '#플레어업', '#어나더유스', '#앤더슨벨', '#레더/라이더스 재킷', '#기타 시계', '#캡/야구 모자', '#헤드폰', '#트레이닝/조거 팬츠', '#목걸이/펜던트']",//image.msscdn.net/images/codimap/detail/1937/detail_1937_1_500.jpg?202401121401
57,캐주얼,캐주얼 룩의 정석,21.03.12,"11,222",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 치노 팬츠를 매치하고 오렌지 컬러의 캠프캡으로 포인트 준 캐주얼 룩,"['#봄', '#캐주얼', '#유니폼브릿지', '#커버낫', '#캡/야구 모자', '#에코백', '#코튼 팬츠', '#캔버스/단화', '#맨투맨/스웨트셔츠']",//image.msscdn.net/images/codimap/detail/2237/detail_2237_1_500.jpg?202401121401
58,캐주얼,멋 내는 방법,21.07.02,"6,014",5,그래픽이 돋보이는 반팔 티셔츠와 와이드 핏 데님 팬츠를 매치하고 스니커즈로 마무리한 캐주얼 룩,"['#톤온톤', '#그래픽', '#캠퍼스', '#남친룩', '#와이드핏', '#여름', '#캐주얼', '#아식스', '#토피', '#원헌드레드퍼센트', '#밀리어네어햇', '#패션스니커즈화', '#데님 팬츠', '#반소매 티셔츠', '#헌팅캡/베레모']",//image.msscdn.net/images/codimap/detail/4031/detail_4031_1_500.jpg?202401121401
59,캐주얼,편하게 멋 내봐,21.09.08,"11,777",5,편하게 입기 좋은 스웨트셔츠와 데님 팬츠를 연출하고 백팩으로 완성한 캐주얼 룩,"['#오버핏', '#워싱', '#캠퍼스', '#꾸안꾸', '#레이어드룩', '#남친룩', '#가을', '#캐주얼', '#제이반스 클래식', '#커버낫', '#페이탈리즘', '#나이키', '#팔찌', '#백팩', '#데님 팬츠', '#기타 스니커즈', '#셔츠/블라우스']",//image.msscdn.net/images/codimap/detail/6495/detail_6495_1_500.jpg?202401121401
